entity_id,name,country,region,import_share_percent,default_export_port_id,default_shipping_route_id,data_source,is_simulated
SUP_IRQ,Iraq,Iraq,Middle East,20.5,PRT_BASRA,RT_BAS_JAM,official,false
SUP_RUS,Russia,Russia,Eurasia,35.0,PRT_NOVOROS,RT_NOV_JAM,official,false
SUP_KSA,Saudi Arabia,Saudi Arabia,Middle East,15.2,PRT_RAS,RT_RAS_MUN,official,false
SUP_UAE,UAE,UAE,Middle East,10.0,PRT_FUJ,RT_FUJ_MAN,official,false
SUP_USA,United States,United States,North America,5.0,PRT_HOUSTON,RT_HOU_PAR,official,false
